Fold,Epoch,Loss,Accuracy,Precision,Recall,F1 Score
3,4,0.3954544152532305,0.8265,0.8282,0.8265,0.8264
3,5,0.3987497616381872,0.8237,0.8292,0.8237,0.8232
3,6,0.39063314845164615,0.8384,0.8394,0.8384,0.8384
3,7,0.38492949306964874,0.8252,0.8253,0.8252,0.8252
3,8,0.3847636225677672,0.8322,0.8323,0.8322,0.8322
3,9,0.39234175473924665,0.8235,0.8244,0.8235,0.8235
3,10,0.3899024412745521,0.8317,0.8328,0.8317,0.8315
3,11,0.38993854134801836,0.8300,0.8361,0.8300,0.8290
3,12,0.37831057525343365,0.8407,0.8408,0.8407,0.8406
3,13,0.38183481991291046,0.8195,0.8297,0.8195,0.8184
3,14,0.3905053957114144,0.8409,0.8409,0.8409,0.8409
3,15,0.3859667854886206,0.8350,0.8365,0.8350,0.8346
3,16,0.3688892803731419,0.8315,0.8343,0.8315,0.8313
3,17,0.39134916710475137,0.8277,0.8278,0.8277,0.8277
3,18,0.37864774288166136,0.8511,0.8512,0.8511,0.8511
3,19,0.37403927010203164,0.8459,0.8469,0.8459,0.8457
3,20,0.3765237939263147,0.8427,0.8430,0.8427,0.8426
3,21,0.3701818924811151,0.8399,0.8426,0.8399,0.8397
3,22,0.3669358373634399,0.8519,0.8529,0.8519,0.8518
3,23,0.3643940607943232,0.8486,0.8491,0.8486,0.8486
3,24,0.3758754913532545,0.8452,0.8456,0.8452,0.8452
3,25,0.3672992147150494,0.8439,0.8444,0.8439,0.8438
3,26,0.361905542039682,0.8559,0.8567,0.8559,0.8557
3,27,0.3561580706210363,0.8496,0.8497,0.8496,0.8496
3,28,0.358092111727548,0.8514,0.8516,0.8514,0.8513
3,29,0.3532904012808724,0.8230,0.8266,0.8230,0.8223
3,30,0.36739979838095016,0.8464,0.8466,0.8464,0.8463
3,31,0.3583914702019048,0.8564,0.8568,0.8564,0.8564
3,32,0.3532272654156836,0.8544,0.8555,0.8544,0.8542
3,33,0.3485091519024637,0.8596,0.8613,0.8596,0.8595
3,34,0.3545083272315207,0.8626,0.8639,0.8626,0.8625
3,35,0.34562368726446513,0.8701,0.8701,0.8701,0.8701
3,36,0.3590628561519441,0.8636,0.8647,0.8636,0.8635
3,37,0.34251756433929714,0.8596,0.8611,0.8596,0.8594
3,38,0.35194624392759233,0.8653,0.8660,0.8653,0.8652
3,39,0.35025635822897866,0.8720,0.8723,0.8720,0.8720
3,40,0.33794474306087646,0.8710,0.8711,0.8710,0.8711
4,1,0.3700471003613775,0.8521,0.8537,0.8521,0.8520
4,2,0.37609298799246077,0.8496,0.8510,0.8496,0.8495
4,3,0.375723277056028,0.8531,0.8540,0.8531,0.8530
4,4,0.3603341987445241,0.8471,0.8493,0.8471,0.8469
4,5,0.3487442304927205,0.8496,0.8498,0.8496,0.8496
4,6,0.35648386038485025,0.8521,0.8535,0.8521,0.8520
4,7,0.35859228315807523,0.8449,0.8459,0.8449,0.8448
4,8,0.3656795289781358,0.8628,0.8629,0.8628,0.8628
4,9,0.35520309671050027,0.8681,0.8681,0.8681,0.8681
4,10,0.3434161018757593,0.8576,0.8596,0.8576,0.8574
4,11,0.3484429137574302,0.8638,0.8665,0.8638,0.8636
4,12,0.345008339200701,0.8653,0.8654,0.8653,0.8653
4,13,0.3407121955875366,0.8708,0.8711,0.8708,0.8708
4,14,0.3434834275690336,0.8656,0.8659,0.8656,0.8655
